ticker,value_score,company_name,mcap_billions
ALRM,41.5,"Alarm.com Holdings, Inc.",2.319903744
ALRS,12.5,Alerus Financial Corporation,0.654853184
ALT,12.5,"Altimmune, Inc.",0.455368128
ALTI,12.5,"AlTi Global, Inc.",0.566531072
ALTO,46.0,"Alto Ingredients, Inc.",0.38207632
ALTS,41.5,ALT5 Sigma Corporation,0.124610216
ALTY,0.0,Global X Alternative Income ETF,0.0
ALVO,12.5,Alvotech,1.126494336
ALVOW,12.5,Alvotech,0.0
ALXO,0.0,ALX Oncology Holdings Inc.,0.219785824
ALZN,0.0,"Alzamend Neuro, Inc.",0.00426131
AMAL,12.5,Amalgamated Financial Corp.,1.298486272
AMAT,54.0,"Applied Materials, Inc.",315.01549568
AMBA,12.5,"Ambarella, Inc.",2.54982656
AMBR,12.5,Amber International Holding Limited,0.223902208
AMCI,0.0,AMC Robotics Corporation,0.14845168
AMCX,46.0,AMC Global Media Inc.,0.38172976
AMD,58.0,"Advanced Micro Devices, Inc.",453.890113536
AMDD,0.0,Direxion Daily AMD Bear 1X Shares,0.0
AMDG,0.0,Leverage Shares 2X Long AMD Daily ETF,0.0
AMDL,0.0,GraniteShares 2x Long AMD Daily ETF,0.0
AMGN,41.5,Amgen Inc.,191.530729472
AMID,0.0,Argent Mid Cap ETF,0.0
AMIX,12.5,"Autonomix Medical, Inc.",0.004629912
AMKR,58.0,"Amkor Technology, Inc.",16.695043072
AMLX,12.5,"Amylyx Pharmaceuticals, Inc.",2.029458304
AMOD,12.5,"Alpha Modus Holdings, Inc.",0.019178518
AMODW,12.5,"Alpha Modus Holdings, Inc.",0.0
AMPG,25.0,"AmpliTech Group, Inc.",0.051675852
AMPGR,25.0,"AmpliTech Group, Inc.",0.0
AMPGZ,25.0,"AmpliTech Group, Inc.",0.0
AMPH,29.5,"Amphastar Pharmaceuticals, Inc.",1.038069504
AMPL,12.5,"Amplitude, Inc.",0.933412288
AMRN,58.5,Amarin Corporation plc,0.314174496
AMRX,29.5,"Amneal Pharmaceuticals, Inc.",4.43727616
AMSC,70.5,American Superconductor Corporation,1.891159936
AMSF,25.0,"AMERISAFE, Inc.",0.643429632
AMST,0.0,Amesite Inc.,0.008047975
AMTX,29.5,"Aemetis, Inc.",0.15469048
AMUN,0.0,abrdn Ultra Short Municipal Income Active ETF,0.0
AMUU,0.0,Direxion Daily AMD Bull 2X Shares,0.0
AMWD,29.5,American Woodmark Corporation,0.630134976
AMYY,0.0,Graniteshares YieldBOOST AMD ETF,0.0
AMZD,0.0,Direxion Daily AMZN Bear 1X Shares,0.0
AMZN,25.0,"Amazon.com, Inc.",2694.585253888
AMZU,0.0,Direxion Daily AMZN Bull 2X Shares,0.0
AMZZ,0.0,GraniteShares 2x Long AMZN Daily ETF,0.0
ANAB,0.0,"AnaptysBio, Inc.",1.94079488
ANABV,0.0,"AnaptysBio, Inc.",0.0
ANDE,62.5,"The Andersons, Inc.",2.455594752
ANEL,0.0,Defiance Daily Target 2X Long ANET ETF,0.0
